Name,Title,Xaxis,Yaxis,Options
d04-x01-y04,d+Au $\pi ^-$ $40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d04-x01-y05,d+Au $\pi ^-$ $60-88%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d04-x01-y06,d+Au $\pi ^+$ $0-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d04-x01-y07,d+Au $\pi ^+$ $0-100%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d04-x01-y08,d+Au $\pi ^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d04-x01-y09,d+Au $\pi ^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d04-x01-y10,d+Au $\pi ^+$ $60-88%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y01,Au+Au $\bar{p}$ $0-10%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y02,Au+Au $\bar{p}$ $10-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y03,Au+Au $\bar{p}$ $20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y04,Au+Au $\bar{p}$ $40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y05,Au+Au $\bar{p}$ $60-92%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y06,Au+Au $p$ $0-10%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y07,Au+Au $p$ $10-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y08,Au+Au $p$ $20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y09,Au+Au $p$ $40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d05-x01-y10,Au+Au $p$ $60-92%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y01,d+Au $\pi ^- 0-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y02,d+Au $\pi ^- 0-100%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y03,d+Au $\pi ^- 20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y04,d+Au $\pi ^- 40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y05,d+Au $\pi ^- 60-88%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y06,d+Au $\pi ^+ 0-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y07,d+Au $\pi ^+ 0-100%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y08,d+Au $\pi ^+ 20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y09,d+Au $\pi ^+ 40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d06-x01-y10,d+Au $\pi ^+ 60-88%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d07-x01-y01,Au+Au $K^-/K^+$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d07-x01-y02,Au+Au $K^-/K^+$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d07-x01-y03,Au+Au $K^-/K^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d07-x01-y04,Au+Au $K^-/K^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d07-x01-y05,Au+Au $K^-/K^+$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d08-x01-y01,d+Au $K^-/K^+$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d08-x01-y02,d+Au $K^-/K^+$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d08-x01-y03,d+Au $K^-/K^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d08-x01-y04,d+Au $K^-/K^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d08-x01-y05,d+Au $K^-/K^+$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d09-x01-y01,Au+Au $\pi ^-/\pi ^+$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d09-x01-y02,Au+Au $\pi ^-/\pi ^+$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d09-x01-y03,Au+Au $\pi ^-/\pi ^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d09-x01-y04,Au+Au $\pi ^-/\pi ^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d09-x01-y05,Au+Au $\pi ^-/\pi ^+$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d10-x01-y01,d+Au $\pi ^-/\pi ^+$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d10-x01-y02,d+Au $\pi ^-/\pi ^+$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d10-x01-y03,d+Au $\pi ^-/\pi ^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d10-x01-y04,d+Au $\pi ^-/\pi ^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d10-x01-y05,d+Au $\pi ^-/\pi ^+$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d11-x01-y01,Au+Au $\bar{p}/p$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d11-x01-y02,Au+Au $\bar{p}/p$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d11-x01-y03,Au+Au $\bar{p}/p$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d11-x01-y04,Au+Au $\bar{p}/p$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d11-x01-y05,Au+Au $\bar{p}/p$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d12-x01-y01,d+Au $\bar{p}/p$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d12-x01-y02,d+Au $\bar{p}/p$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d12-x01-y03,d+Au $\bar{p}/p$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d12-x01-y04,d+Au $\bar{p}/p$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
d12-x01-y05,d+Au $\bar{p}/p$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio,LogY=<0>
